enrollee_id,education_level,major_discipline,university_id
8949,Graduate,STEM,1483
29725,Graduate,STEM,1062
11561,Graduate,STEM,1252
33241,Graduate,Business Degree,1977
666,Masters,STEM,1443
21651,Graduate,STEM,1304
28806,High School,,1792
402,Graduate,STEM,1380
27107,Graduate,STEM,1404
699,Graduate,STEM,1444
29452,High School,,1810
23853,Graduate,STEM,1354
25619,Graduate,STEM,1662
5826,,,1011
8722,High School,,1671
6588,Graduate,STEM,1065
4167,Graduate,STEM,1654
5764,Graduate,STEM,1685
2156,Graduate,STEM,1044
11399,Graduate,Arts,1537
31972,Masters,STEM,1205
19061,Masters,STEM,1269
6491,Masters,STEM,1597
7041,Graduate,Humanities,1995
22767,Graduate,STEM,1457
14505,High School,,1329
17139,Graduate,STEM,1931
28476,Graduate,Arts,1626
21538,High School,,1831
10408,Graduate,STEM,1220
14928,Graduate,STEM,1597
22293,Graduate,STEM,1599
4324,Graduate,STEM,1961
26966,Graduate,STEM,1944
26494,Graduate,Business Degree,1011
4866,Graduate,STEM,1989
12726,High School,,1203
10164,Phd,STEM,1347
8612,Graduate,STEM,1630
24659,,,1803
2547,Masters,STEM,1970
13854,High School,,1502
31654,Masters,STEM,1803
13643,Graduate,No Major,1655
5590,Masters,STEM,1826
22452,Masters,STEM,1721
9006,Graduate,STEM,1273
25987,Graduate,STEM,1755
4476,Graduate,No Major,1039
25103,Graduate,STEM,1539
5568,Graduate,STEM,1470
2195,Graduate,STEM,1802
30533,Graduate,Humanities,1009
28512,Masters,STEM,1168
1023,High School,,1341
12253,Graduate,STEM,1037
25296,Graduate,STEM,1804
13238,Graduate,STEM,1418
13478,Graduate,STEM,1664
18578,Graduate,Humanities,1196
29975,Graduate,STEM,1852
26516,Graduate,STEM,1748
24690,Masters,STEM,1512
8433,Masters,Humanities,1354
9572,High School,,1682
5878,Graduate,STEM,1202
25695,Masters,Humanities,1751
9645,Graduate,STEM,1674
12730,Masters,Humanities,1505
4830,,,1222
20970,Graduate,STEM,1263
17271,Graduate,STEM,1898
12731,Graduate,STEM,1320
10908,Masters,STEM,1940
29117,Graduate,STEM,1855
3686,Graduate,STEM,1012
22683,Masters,STEM,1210
22134,Graduate,Humanities,1414
31765,Graduate,STEM,1692
31449,Masters,STEM,1876
5987,Graduate,STEM,1420
21762,Graduate,STEM,1390
22070,Graduate,STEM,1413
25413,Graduate,STEM,1793
5902,Masters,STEM,1879
28403,Graduate,STEM,1622
30937,Graduate,STEM,1042
28751,High School,,1916
29290,Masters,STEM,1816
32401,Graduate,STEM,1470
19128,Graduate,STEM,1181
29036,High School,,1101
16869,Graduate,Humanities,1211
10497,Graduate,STEM,1489
18099,Graduate,STEM,1985
12081,Graduate,STEM,1337
7364,High School,,1943
11184,Graduate,STEM,1973
7016,Graduate,STEM,1879
