enrollee_id,relevent_experience,experience,last_new_job,company_id,training_hours,target
8949,Has relevent experience,20,1,3424,36,1.0
29725,No relevent experience,15,4,1783,47,0.0
11561,No relevent experience,5,0,1097,83,0.0
33241,No relevent experience,1,0,1048,52,1.0
666,Has relevent experience,20,4,3340,8,0.0
21651,Has relevent experience,11,1,1017,24,1.0
28806,Has relevent experience,5,1,3085,24,0.0
402,Has relevent experience,13,4,4258,18,1.0
27107,Has relevent experience,7,1,3480,46,1.0
699,Has relevent experience,17,4,1639,123,0.0
29452,No relevent experience,2,0,2905,32,1.0
23853,Has relevent experience,5,1,4187,108,0.0
25619,Has relevent experience,20,3,2272,23,0.0
5826,No relevent experience,2,0,1411,24,0.0
8722,No relevent experience,5,0,3577,26,0.0
6588,Has relevent experience,16,4,1990,18,0.0
4167,Has relevent experience,1,0,2794,106,0.0
5764,Has relevent experience,2,2,3186,7,0.0
2156,Has relevent experience,7,0,1404,23,1.0
11399,Has relevent experience,4,1,1697,132,1.0
31972,Has relevent experience,11,1,3646,68,0.0
19061,Has relevent experience,11,2,2878,50,0.0
6491,Has relevent experience,10,1,1929,48,0.0
7041,Has relevent experience,1,1,3437,65,0.0
22767,Has relevent experience,5,1,2290,13,0.0
14505,No relevent experience,4,0,3067,22,0.0
17139,Has relevent experience,14,1,3582,148,1.0
28476,Has relevent experience,5,2,1224,72,0.0
21538,Has relevent experience,11,1,4340,8,1.0
10408,Has relevent experience,18,2,1881,68,1.0
14928,Has relevent experience,20,3,2358,40,0.0
22293,Has relevent experience,19,4,2402,141,0.0
4324,No relevent experience,5,1,3095,24,0.0
26966,Has relevent experience,20,4,1122,82,0.0
26494,Has relevent experience,12,3,2670,145,0.0
4866,Has relevent experience,10,2,3146,206,0.0
12726,No relevent experience,1,1,3418,152,0.0
10164,Has relevent experience,20,4,1051,42,1.0
8612,No relevent experience,12,4,4202,50,0.0
24659,No relevent experience,3,0,1001,106,0.0
2547,Has relevent experience,16,2,4210,14,0.0
13854,Has relevent experience,4,2,2396,36,0.0
31654,Has relevent experience,6,1,2571,112,1.0
13643,No relevent experience,9,0,1570,108,0.0
5590,Has relevent experience,9,3,1722,7,1.0
22452,No relevent experience,5,0,2861,26,1.0
9006,Has relevent experience,5,0,3665,87,1.0
25987,Has relevent experience,19,4,4231,52,1.0
4476,Has relevent experience,15,4,1617,20,1.0
25103,Has relevent experience,11,1,4318,21,0.0
5568,No relevent experience,4,1,2383,92,1.0
2195,Has relevent experience,10,2,2854,102,0.0
30533,No relevent experience,5,4,1119,26,0.0
28512,Has relevent experience,3,2,2790,7,0.0
1023,No relevent experience,4,1,1714,43,0.0
12253,Has relevent experience,20,1,3857,45,0.0
25296,Has relevent experience,2,2,1515,52,0.0
13238,Has relevent experience,20,2,2125,19,0.0
13478,Has relevent experience,2,,2077,32,1.0
18578,Has relevent experience,20,4,2924,26,1.0
29975,Has relevent experience,6,1,1367,90,0.0
26516,Has relevent experience,6,3,3676,25,0.0
24690,Has relevent experience,13,1,3595,15,0.0
8433,Has relevent experience,20,4,3081,48,0.0
9572,No relevent experience,3,,3879,98,0.0
5878,Has relevent experience,10,2,2575,142,1.0
25695,No relevent experience,4,4,3432,13,0.0
9645,Has relevent experience,15,4,3981,47,0.0
12730,Has relevent experience,14,1,3517,28,0.0
4830,No relevent experience,2,0,2879,228,1.0
20970,Has relevent experience,20,4,3108,22,0.0
17271,No relevent experience,1,0,2588,18,1.0
12731,Has relevent experience,2,1,1142,29,0.0
10908,Has relevent experience,5,1,3074,46,0.0
29117,No relevent experience,1,0,1449,12,0.0
3686,Has relevent experience,5,2,3437,17,0.0
22683,Has relevent experience,5,2,2615,65,0.0
22134,No relevent experience,3,1,2661,35,0.0
31765,No relevent experience,9,3,2962,14,0.0
31449,Has relevent experience,2,1,1118,4,0.0
5987,Has relevent experience,15,4,3876,12,0.0
21762,Has relevent experience,20,2,2224,108,0.0
22070,No relevent experience,20,1,2806,136,0.0
25413,Has relevent experience,5,1,3585,27,0.0
5902,Has relevent experience,4,1,3971,74,0.0
28403,Has relevent experience,15,1,3857,86,0.0
30937,No relevent experience,1,2,1862,83,0.0
28751,No relevent experience,4,3,3780,75,0.0
29290,No relevent experience,11,2,1539,42,0.0
32401,Has relevent experience,6,1,3990,332,0.0
19128,No relevent experience,4,,4113,140,0.0
29036,No relevent experience,3,0,3555,182,0.0
16869,No relevent experience,3,1,3528,13,1.0
10497,Has relevent experience,5,2,1157,172,1.0
18099,Has relevent experience,10,1,1350,48,0.0
12081,Has relevent experience,9,1,1749,33,0.0
7364,No relevent experience,2,1,3542,142,0.0
11184,No relevent experience,2,1,2129,34,0.0
7016,Has relevent experience,6,2,1987,14,1.0
8695,Has relevent experience,6,2,3473,27,1.0
6172,Has relevent experience,8,1,2050,24,1.0
14672,No relevent experience,20,1,2535,150,0.0
18257,Has relevent experience,11,4,1877,20,0.0
24493,Has relevent experience,5,1,2684,140,0.0
1180,Has relevent experience,12,1,2830,52,0.0
28627,Has relevent experience,20,2,3329,160,0.0
8168,Has relevent experience,9,2,3152,3,0.0
10473,Has relevent experience,2,2,4343,2,1.0
25349,Has relevent experience,20,4,2129,28,0.0
5220,Has relevent experience,20,4,1676,46,0.0
4789,Has relevent experience,8,1,2307,210,0.0
11338,Has relevent experience,10,1,2901,36,0.0
27963,No relevent experience,4,1,2210,160,1.0
8571,Has relevent experience,2,2,3096,101,0.0
16303,Has relevent experience,6,1,3598,46,0.0
20576,Has relevent experience,20,4,1481,19,0.0
32966,Has relevent experience,3,2,1994,26,1.0
21199,Has relevent experience,7,1,1906,90,0.0
18819,Has relevent experience,9,4,1017,59,0.0
14199,Has relevent experience,10,1,2590,260,0.0
7666,Has relevent experience,11,4,1307,74,0.0
13915,Has relevent experience,20,2,1529,20,1.0
10555,Has relevent experience,12,2,1249,8,0.0
16040,Has relevent experience,6,1,3976,131,0.0
32826,Has relevent experience,7,1,4345,45,0.0
13253,Has relevent experience,11,2,1903,109,0.0
15637,Has relevent experience,3,1,4365,70,0.0
28074,Has relevent experience,20,4,4076,17,0.0
23012,No relevent experience,15,1,1645,51,0.0
16110,Has relevent experience,6,3,1743,60,1.0
3921,No relevent experience,20,4,2721,4,0.0
24530,No relevent experience,12,4,2040,7,0.0
1924,Has relevent experience,20,3,1863,164,0.0
32776,Has relevent experience,20,4,2864,290,0.0
1907,No relevent experience,2,0,1846,145,0.0
23947,No relevent experience,,,1548,70,0.0
3116,No relevent experience,3,1,3740,24,0.0
24829,No relevent experience,3,1,2084,133,1.0
30488,No relevent experience,2,1,2517,20,0.0
1265,Has relevent experience,10,1,4210,76,0.0
22098,No relevent experience,5,4,3208,21,1.0
13342,Has relevent experience,8,2,3120,34,0.0
24608,No relevent experience,9,2,3204,15,0.0
20081,No relevent experience,20,4,1871,156,0.0
24796,Has relevent experience,20,4,1331,15,0.0
7777,Has relevent experience,20,0,4264,120,0.0
22718,Has relevent experience,14,4,1612,47,0.0
1261,Has relevent experience,12,2,3785,100,1.0
3396,Has relevent experience,6,0,2053,102,0.0
4283,No relevent experience,4,0,1047,52,0.0
18998,Has relevent experience,9,4,3953,39,0.0
2003,Has relevent experience,4,1,2170,112,1.0
31786,No relevent experience,20,4,2378,14,0.0
8241,Has relevent experience,11,1,2968,4,0.0
12154,Has relevent experience,20,4,1552,55,0.0
23455,Has relevent experience,6,4,1519,49,1.0
19882,Has relevent experience,15,4,1925,72,0.0
28817,Has relevent experience,14,3,4338,141,1.0
4656,No relevent experience,6,0,3272,28,0.0
7280,Has relevent experience,13,1,2652,6,0.0
16903,Has relevent experience,17,1,2581,125,0.0
13333,Has relevent experience,20,0,1006,326,0.0
26241,Has relevent experience,20,2,2209,33,0.0
12381,No relevent experience,6,4,3074,40,0.0
4064,Has relevent experience,18,1,1116,198,1.0
32092,Has relevent experience,15,4,4014,55,0.0
3766,No relevent experience,20,4,3210,32,0.0
30496,Has relevent experience,20,4,2279,11,0.0
7189,Has relevent experience,20,1,3524,41,0.0
29497,Has relevent experience,20,4,3751,87,1.0
31593,Has relevent experience,10,4,1771,114,0.0
12384,Has relevent experience,20,4,1720,33,0.0
11986,Has relevent experience,5,1,1438,15,0.0
31033,No relevent experience,3,1,4103,8,0.0
14835,Has relevent experience,2,1,3408,22,0.0
3728,Has relevent experience,20,4,3431,13,0.0
3024,Has relevent experience,20,1,2898,246,0.0
23508,Has relevent experience,9,1,1475,22,0.0
29457,Has relevent experience,20,1,1776,81,0.0
12297,Has relevent experience,4,1,1576,11,0.0
27708,No relevent experience,5,,4200,24,1.0
3065,Has relevent experience,20,1,2898,50,0.0
29226,No relevent experience,6,0,3017,15,0.0
5493,Has relevent experience,20,4,1883,31,0.0
2891,Has relevent experience,20,0,3303,84,0.0
32509,Has relevent experience,4,1,3071,42,0.0
31841,Has relevent experience,10,4,3969,105,1.0
907,Has relevent experience,20,4,2376,72,0.0
29526,Has relevent experience,14,4,1461,42,1.0
10956,Has relevent experience,15,1,1515,152,0.0
26099,Has relevent experience,12,1,2056,60,0.0
26163,No relevent experience,2,0,3409,8,0.0
4120,No relevent experience,13,3,2547,17,1.0
7335,No relevent experience,1,1,3138,33,0.0
706,Has relevent experience,4,0,3478,38,0.0
9890,Has relevent experience,14,2,2742,178,0.0
32683,Has relevent experience,15,1,1903,11,0.0
27104,Has relevent experience,20,0,1527,87,0.0
7731,Has relevent experience,13,0,2083,84,0.0
31943,Has relevent experience,20,2,1143,32,0.0
22899,Has relevent experience,9,1,3499,31,1.0
33339,No relevent experience,2,1,1651,39,0.0
20866,Has relevent experience,7,1,3896,12,0.0
21634,Has relevent experience,5,1,2063,50,0.0
29529,Has relevent experience,3,1,3162,55,1.0
4478,Has relevent experience,5,,1535,7,1.0
32095,Has relevent experience,2,1,3486,104,0.0
18272,Has relevent experience,20,4,3977,90,1.0
30098,Has relevent experience,20,4,1362,8,0.0
23825,No relevent experience,2,0,3761,102,0.0
7672,Has relevent experience,1,1,3080,202,1.0
5633,Has relevent experience,4,1,2216,22,0.0
30695,No relevent experience,3,0,2274,42,0.0
5573,No relevent experience,4,0,3411,50,0.0
24936,Has relevent experience,3,1,4323,88,0.0
397,Has relevent experience,5,4,1142,81,0.0
31602,Has relevent experience,20,1,1591,7,0.0
5278,No relevent experience,3,0,2444,218,0.0
16814,Has relevent experience,20,4,3941,62,0.0
19249,Has relevent experience,6,1,1061,83,0.0
9475,Has relevent experience,9,4,1680,11,0.0
4865,No relevent experience,20,4,2636,10,0.0
20881,Has relevent experience,10,1,3091,114,0.0
21563,Has relevent experience,3,1,2240,36,0.0
25114,No relevent experience,6,1,1018,17,0.0
26002,No relevent experience,2,0,1581,80,1.0
8528,Has relevent experience,20,4,4094,108,0.0
6141,Has relevent experience,2,2,4279,45,0.0
27667,No relevent experience,5,0,2831,77,0.0
2821,Has relevent experience,15,2,2158,8,0.0
21216,No relevent experience,5,1,1915,28,0.0
25495,Has relevent experience,9,4,2401,37,0.0
20791,No relevent experience,2,2,3978,108,1.0
28015,Has relevent experience,13,2,2803,162,0.0
10685,Has relevent experience,9,4,3465,41,0.0
405,Has relevent experience,19,4,1886,4,0.0
13891,No relevent experience,3,1,3919,41,0.0
33050,Has relevent experience,17,2,2241,12,0.0
399,Has relevent experience,20,1,4085,190,0.0
8202,Has relevent experience,7,4,3393,29,1.0
8751,Has relevent experience,6,1,4298,11,0.0
20744,No relevent experience,3,1,1871,30,0.0
25380,Has relevent experience,13,4,2282,39,0.0
24617,Has relevent experience,9,1,1843,16,0.0
12509,No relevent experience,20,4,2224,5,0.0
25473,No relevent experience,8,0,4049,39,0.0
13083,Has relevent experience,10,4,4120,29,0.0
12454,Has relevent experience,4,2,2834,210,0.0
3500,No relevent experience,6,1,3275,54,0.0
15922,Has relevent experience,9,3,4043,44,0.0
6685,Has relevent experience,15,4,3227,47,0.0
28838,Has relevent experience,20,4,1247,74,0.0
24082,Has relevent experience,6,1,2413,8,1.0
24846,No relevent experience,7,0,1385,20,1.0
1020,Has relevent experience,3,1,3139,162,0.0
6189,No relevent experience,2,1,2978,110,0.0
16994,Has relevent experience,3,1,2926,262,0.0
13135,Has relevent experience,14,1,1198,6,0.0
14578,Has relevent experience,9,1,1990,19,1.0
20732,No relevent experience,20,4,2728,23,1.0
16496,No relevent experience,1,1,2567,107,1.0
16537,Has relevent experience,15,4,3392,134,0.0
17358,Has relevent experience,11,1,2106,40,0.0
21933,Has relevent experience,12,1,3568,11,0.0
7342,Has relevent experience,11,3,2434,102,0.0
5630,No relevent experience,2,0,2903,100,0.0
24152,No relevent experience,3,0,1964,30,0.0
17762,No relevent experience,5,1,2110,20,1.0
4310,Has relevent experience,14,3,1489,4,0.0
5142,No relevent experience,5,0,3537,15,0.0
22319,No relevent experience,1,1,4050,14,1.0
30912,No relevent experience,1,0,1506,103,0.0
20976,Has relevent experience,5,2,2929,40,0.0
13150,Has relevent experience,20,2,1720,27,0.0
12206,No relevent experience,10,4,1842,46,0.0
9407,Has relevent experience,7,4,2619,110,0.0
13152,Has relevent experience,13,1,4135,96,0.0
1069,Has relevent experience,5,2,3541,57,0.0
25418,Has relevent experience,6,1,3170,240,0.0
22689,Has relevent experience,4,4,4074,42,0.0
5104,Has relevent experience,7,1,2932,16,1.0
13994,Has relevent experience,20,0,3770,40,1.0
27064,Has relevent experience,5,2,3698,94,0.0
14598,No relevent experience,9,1,3671,160,0.0
9571,No relevent experience,10,1,2866,25,0.0
30854,Has relevent experience,9,1,2508,11,0.0
25290,Has relevent experience,1,1,3716,29,0.0
29640,Has relevent experience,8,1,2458,23,0.0
17519,Has relevent experience,10,2,1418,113,0.0
12111,Has relevent experience,15,2,3174,56,0.0
6085,No relevent experience,2,1,2126,39,1.0
27277,No relevent experience,2,1,4295,20,0.0
31692,Has relevent experience,20,1,4238,40,0.0
6052,Has relevent experience,20,4,4199,56,0.0
18161,No relevent experience,4,1,4357,106,0.0
12934,Has relevent experience,19,2,1791,64,0.0
30400,Has relevent experience,5,1,2647,51,0.0
26419,Has relevent experience,6,2,2675,41,0.0
4188,Has relevent experience,20,4,3686,150,0.0
12117,Has relevent experience,4,1,1319,320,0.0
28847,Has relevent experience,7,0,3036,20,0.0
30472,No relevent experience,4,1,1664,9,1.0
32534,Has relevent experience,9,1,2768,74,0.0
22395,Has relevent experience,3,1,2139,129,1.0
4876,Has relevent experience,10,1,4271,42,0.0
25182,No relevent experience,2,0,1265,58,0.0
26135,No relevent experience,3,1,1809,126,1.0
7517,No relevent experience,4,1,3803,45,1.0
2793,Has relevent experience,20,4,1976,166,0.0
25174,Has relevent experience,2,1,3997,110,0.0
5593,Has relevent experience,20,1,1694,37,0.0
14003,Has relevent experience,2,1,1315,95,1.0
33057,Has relevent experience,20,4,1692,29,1.0
30484,Has relevent experience,20,4,2179,31,0.0
14688,No relevent experience,11,4,1974,97,0.0
25459,No relevent experience,3,0,1638,16,0.0
23657,No relevent experience,4,0,4115,14,0.0
20322,Has relevent experience,20,4,1968,206,0.0
22194,Has relevent experience,2,1,2026,204,0.0
31401,Has relevent experience,18,2,3430,116,0.0
14914,Has relevent experience,16,4,1990,161,0.0
20376,Has relevent experience,20,4,4268,25,1.0
27530,Has relevent experience,18,4,3735,94,0.0
24701,Has relevent experience,15,4,2647,16,0.0
6790,Has relevent experience,15,1,3784,100,0.0
10102,Has relevent experience,20,0,3126,107,0.0
10338,Has relevent experience,11,1,2981,17,0.0
15701,Has relevent experience,10,1,1070,140,0.0
21218,Has relevent experience,3,2,1056,75,0.0
1586,Has relevent experience,6,1,1417,59,0.0
9189,Has relevent experience,6,1,2353,146,0.0
13788,No relevent experience,3,0,3510,302,0.0
10752,Has relevent experience,9,2,2699,42,1.0
28406,Has relevent experience,14,1,1061,131,0.0
26320,Has relevent experience,9,4,3341,74,0.0
17460,Has relevent experience,7,1,1125,22,0.0
18657,No relevent experience,3,0,3348,53,1.0
9384,Has relevent experience,20,4,1999,143,0.0
4269,Has relevent experience,14,2,2692,72,0.0
14935,Has relevent experience,11,1,3797,7,0.0
28033,No relevent experience,3,1,1089,182,0.0
1568,Has relevent experience,15,4,4354,50,0.0
15465,Has relevent experience,2,1,1920,82,0.0
26233,Has relevent experience,2,1,3054,58,0.0
24729,Has relevent experience,9,1,2453,94,0.0
29440,Has relevent experience,4,2,3514,60,1.0
32652,Has relevent experience,5,4,1781,124,0.0
28556,No relevent experience,2,2,1009,46,0.0
12875,No relevent experience,3,2,2321,57,1.0
21078,Has relevent experience,9,1,1703,17,0.0
30331,Has relevent experience,14,4,3014,101,0.0
5899,No relevent experience,3,0,1309,31,0.0
22787,Has relevent experience,20,1,3562,36,0.0
27435,Has relevent experience,15,4,3659,198,0.0
2855,No relevent experience,5,0,1929,31,0.0
18385,Has relevent experience,9,1,3331,12,0.0
27866,Has relevent experience,20,1,2797,31,0.0
7328,Has relevent experience,20,4,3980,26,1.0
24807,Has relevent experience,6,1,3063,55,0.0
27113,Has relevent experience,11,4,3435,8,1.0
6008,Has relevent experience,20,4,4345,38,0.0
760,Has relevent experience,16,2,1538,8,0.0
2990,Has relevent experience,20,3,2338,32,1.0
28229,Has relevent experience,18,4,3045,51,0.0
4162,Has relevent experience,9,2,3924,22,0.0
27326,Has relevent experience,7,1,4228,17,0.0
604,No relevent experience,3,0,3114,24,0.0
2194,Has relevent experience,5,1,2177,19,0.0
21564,Has relevent experience,9,2,3517,46,1.0
17432,Has relevent experience,13,4,1025,15,0.0
13952,Has relevent experience,20,4,2411,23,1.0
1988,Has relevent experience,20,4,3038,38,0.0
23691,No relevent experience,4,0,2738,46,1.0
10481,No relevent experience,1,0,1419,214,0.0
8540,Has relevent experience,20,4,1350,52,0.0
8806,No relevent experience,1,0,2857,22,1.0
15468,Has relevent experience,15,2,2562,65,0.0
32747,Has relevent experience,14,1,2089,64,0.0
1297,Has relevent experience,7,4,3526,86,0.0
4075,No relevent experience,4,1,3890,52,1.0
12772,Has relevent experience,14,4,3040,21,0.0
22517,No relevent experience,3,1,1605,86,0.0
26388,No relevent experience,5,4,1861,288,1.0
30676,Has relevent experience,20,4,2154,53,0.0
18376,Has relevent experience,17,1,4030,60,0.0
10970,Has relevent experience,18,4,3891,178,0.0
29961,Has relevent experience,20,2,3642,166,0.0
5136,Has relevent experience,20,1,1765,62,0.0
20369,Has relevent experience,7,1,1943,35,0.0
23505,Has relevent experience,17,4,2107,106,0.0
11751,No relevent experience,6,0,2334,58,0.0
12038,Has relevent experience,,,4343,44,1.0
28590,Has relevent experience,6,1,3972,72,0.0
32699,Has relevent experience,18,1,3790,80,0.0
10370,Has relevent experience,16,2,3593,166,0.0
4095,Has relevent experience,20,1,4216,25,0.0
5340,Has relevent experience,20,0,2129,109,0.0
9217,Has relevent experience,1,1,2425,37,0.0
15294,No relevent experience,4,0,1914,55,1.0
23901,No relevent experience,3,0,3213,32,0.0
5673,No relevent experience,9,3,3881,51,0.0
25421,Has relevent experience,16,1,4239,84,0.0
20698,Has relevent experience,20,1,4232,72,0.0
