id,name,world_rank,country
1001,Harvard University,1,USA
1002,Stanford University,2,USA
1003,Massachusetts Institute of Technology,3,USA
1004,University of Cambridge,4,United Kingdom
1005,University of Oxford,5,United Kingdom
1006,Columbia University,6,USA
1007,"University of California, Berkeley",7,USA
1008,University of Chicago,8,USA
1009,Princeton University,9,USA
1010,Cornell University,10,USA
1011,Yale University,11,USA
1012,California Institute of Technology,12,USA
1013,University of Tokyo,13,Japan
1014,University of Pennsylvania,14,USA
1015,"University of California, Los Angeles",15,USA
1016,Johns Hopkins University,16,USA
1017,Kyoto University,17,Japan
1018,New York University,18,USA
1019,"University of Michigan, Ann Arbor",19,USA
1020,Swiss Federal Institute of Technology in Zurich,20,Switzerland
1021,"University of California, San Diego",21,USA
1022,Northwestern University,22,USA
1023,Hebrew University of Jerusalem,23,Israel
1024,Seoul National University,24,South Korea
1025,University of Wisconsin–Madison,25,USA
1026,"University of California, San Francisco",26,USA
1027,University College London,27,United Kingdom
1028,Duke University,28,USA
1029,Rockefeller University,29,USA
1030,University of Texas at Austin,30,USA
1031,University of Washington - Seattle,31,USA
1032,University of Toronto,32,Canada
1033,University of Illinois at Urbana–Champaign,33,USA
1034,Keio University,34,Japan
1035,Imperial College London,35,United Kingdom
1036,École Polytechnique,36,France
1037,École normale supérieure - Paris,37,France
1038,Waseda University,38,Japan
1039,Weizmann Institute of Science,39,Israel
1040,University of North Carolina at Chapel Hill,40,USA
1041,University of Virginia,41,USA
1042,McGill University,42,Canada
1043,"Purdue University, West Lafayette",43,USA
1044,Dartmouth College,44,USA
1045,Osaka University,45,Japan
1046,University of Pittsburgh - Pittsburgh Campus,46,USA
1047,"Pennsylvania State University, University Park",47,USA
1048,"University of Minnesota, Twin Cities",48,USA
1049,"Ohio State University, Columbus",49,USA
1050,Rutgers University-New Brunswick,50,USA
1051,University of Southern California,51,USA
1052,Washington University in St. Louis,52,USA
1053,"University of California, Davis",53,USA
1054,University of Colorado Boulder,54,USA
1055,University of Edinburgh,55,United Kingdom
1056,Peking University,56,China
