role_id,role_name
1,Promotions Manager
2,Public Relations Manager
3,Advertising Manager
4,Marketing Manager
5,General Manager
6,Operations Manager
7,Sales Manager
8,Legislator
9,Fundraising Manager
10,Administrative Services Manager
11,Facilities Manager
12,Computer and Information Systems Manager
13,Purchasing Manager
14,Financial Manager
15,Industrial Production Manager
16,Transportation Manager
17,Storage Manager
18,Distribution Manager
19,Compensation Manager
20,Benefits Manager
21,Human Resources Manager
22,Training Manager
23,Development Manager
24,Agricultural Manager
25,Construction Manager
26,Architectural and Engineering Manager
27,"Education and Childcare Administrator, Preschool and Daycare"
28,"Education Administrator, Kindergarten through Secondary"
29,"Education Administrator, Postsecondary"
30,Gambling Manager
31,Lodging Manager
32,Medical and Health Services Manager
33,Natural Sciences Manager
34,"Property, Real Estate, and Community Association Manager"
35,Social and Community Service Manager
36,Emergency Management Director
37,Personal Service Manager
38,Business Operations Specialist
39,Business Manager of Artists
40,Business Manager of Athletes
41,Purchasing Agent
42,Claims Adjuster
43,Insurance Appraiser
44,Compliance Officer
45,Cost Estimator
46,Human Resources Worker
47,Human Resources Specialist
48,Farm Labor Contractor
49,Labor Relations Specialist
50,Logistician
51,Management Analyst
52,"Meeting, Convention, and Event Planner"
53,Fundraiser
54,"Compensation, Benefits, and Job Analysis Specialist"
55,Training and Development Specialist
56,Market Research Analyst 
57,Project Management Specialist 
58,Financial Specialist
59,Marketing Specialist
60,Accountant
61,Auditor
62,Property Appraiser
63,Budget Analyst
64,Credit Analyst
65,Personal Financial Advisor
66,Insurance Underwriter
67,Financial Examiner
68,Credit Counselor
69,Tax Examiner
70,Loan Officer
71,Collector
72,Revenue Agent
73,Tax Preparer
74,Financial and Investment Analyst
75,Financial Risk Specialist
76,Computer and Information Analyst
77,Computer Systems Analyst
78,Information Security Analyst
79,Computer and Information Research Scientist
80,Computer Support Specialist
81,Computer Network Support Specialist
82,Computer User Support Specialist
83,Network Administrator 
84,Database and Network Architect
85,Computer Network Architect
86,Network and Computer Systems Administrator
87,Database Administrator 
88,Software Developer
89,Web Developer
90,Programmer
91,Tester
92,Database Architect
93,Software Quality Assurance Analyst
94,Digital Interface Designer
95,Actuarie
96,Mathematician
97,Operations Research Analyst
98,Statistician
99,Data Scientist
100,Surveyor
101,Cartographer
102,Landscape Architect
103,Photogrammetrist
104,Engineer
105,Bioengineers Engineer
106,Aerospace Engineer
107,Agricultural Engineer
108,Biomedical Engineer
109,Chemical Engineer
110,Civil Engineer
111,Computer Hardware Engineer
112,Electronics Engineer
113,Electrical Engineer
114,Environmental Engineer
115,Industrial Engineer
116,Health and Safety Engineer
117,Mining Safety Engineer
118,Marine Engineer
119,Naval Architect
120,Materials Engineer
121,Mechanical Engineer
122,Geological Engineer
123,Nuclear Engineer
124,Petroleum Engineer
125,Miscellaneous Engineer
126,Mining Engineer
127,Drafter
128,Engineering Technician
129,Mapping Technician
130,Civil Drafter
131,Architectural Drafter
132,Electronics Drafter
133,Electrical Drafter
134,Mechanical Drafter
135,Engineering Technologist
136,Aerospace Engineering and Operations Technologist
137,Aerospace Engineering and Operations Technician
138,Civil Engineering Technologist
139,Civil Engineering Technician
140,Electrical and Electronic Engineering Technologist
141,Electrical and Electronic Engineering Technician
142,Electro-Mechanical and Mechatronics Technologist
143,Electro-Mechanical and Mechatronics Technician
144,Environmental Engineering Technologist
145,Environmental Engineering Technician
146,Industrial Engineering Technologist
147,Industrial Engineering Technician
148,Mechanical Engineering Technologist
149,Mechanical Engineering Technician
150,Surveying Technician
151,Calibration Technologist
152,Calibration Technician
153,Life Scientist
154,Agricultural Scientist
155,Soil and Plant Scientist
156,Biological Scientist
157,Biophysicist
158,Microbiologist
159,Biochemist
160,Conservation Scientist
161,Medical Scientist
162,Epidemiologist
163,Miscellaneous Life Scientist
164,Physical Scientist
165,Astronomer
166,Physicist
167,Atmospheric and Space Scientist
168,Chemists and Materials Scientist
169,Chemist
170,Materials Scientist
171,Environmental Scientist
172,Geoscientist
173,Environmental Specialist
174,Geographer
175,Traffic Engineer
176,Hydrologist
177,Miscellaneous Physical Scientist
178,Related Worker
179,Economist
180,Survey Researcher
181,Psychologist
182,Social Scientist
183,School Psychologist
184,Clinical Psychologist
185,Counseling Psychologist
186,Industrial-Organizational Psychologist
187,Sociologist
188,Urban and Regional Planner
189,Miscellaneous Social Scientist
190,Anthropologist
191,Historian
192,Political Scientist
193,"Life, Physical, and Social Science Technician"
194,Agricultural Technician
195,Biological Technician
196,Chemical Technician
197,Protection Technician
198,Archeologist
199,Geoscience Technician
200,Hydrologic Technician
201,Nuclear Technician
202,Social Science Research Assistant
203,Conservation Technician
204,Miscellaneous Life Technician
205,Forensic Science Technician
206,Miscellaneous Community and Social Service Specialist
207,Forest Technician
208,Health and Safety Specialist
209,Health and Safety Technician
210,Counselor
211,"Educational, Guidance, and Career Counselor"
212,Marriage and Family Therapist
213,Rehabilitation Counselor
214,"Substance Abuse, Behavioral Disorder, and Mental Health Counselor"
