enrollee_id,city,gender,role_id,group_id
8949,103,Male,395,84
29725,40,Male,754,52
11561,21,Female,107,97
33241,115,Female,626,4
666,162,Male,424,46
21651,176,Female,650,17
28806,160,Male,960,66
402,46,Male,503,67
27107,103,Male,563,100
699,103,Female,812,47
29452,21,Female,445,37
23853,103,Male,714,52
25619,61,Male,63,68
5826,21,Male,100,81
8722,21,Female,450,99
6588,114,Male,374,3
4167,103,Female,267,42
5764,21,Female,460,9
2156,21,Female,376,30
11399,13,Female,112,39
31972,159,Male,127,103
19061,114,Male,359,30
6491,102,Female,882,26
7041,40,Male,10,84
22767,21,Female,514,14
14505,67,Female,757,30
17139,21,Female,752,14
28476,103,Male,314,40
21538,100,Male,290,32
10408,21,Male,426,74
14928,103,Male,492,76
22293,103,Male,365,58
4324,103,Female,407,4
26966,160,Female,655,65
26494,16,Male,541,84
4866,103,Male,416,79
12726,114,Male,498,25
10164,114,Male,656,101
8612,103,Female,182,89
24659,71,Male,257,1
2547,114,Female,707,101
13854,104,Male,209,38
31654,21,Female,546,28
13643,64,Female,831,23
5590,21,Male,758,31
22452,21,Female,357,46
9006,21,Male,290,27
25987,103,Female,268,76
4476,101,Male,475,56
25103,83,Male,191,11
5568,101,Male,841,35
2195,64,Male,4,6
30533,105,Male,266,89
28512,104,Female,41,14
1023,114,Male,307,2
12253,104,Male,921,18
25296,73,Male,300,97
13238,103,Male,600,20
13478,21,Female,407,15
18578,162,Male,669,69
29975,67,Male,358,47
26516,75,Male,814,6
24690,41,Female,61,102
8433,100,Male,620,49
9572,11,Female,611,35
5878,93,Male,558,69
25695,67,Female,475,98
9645,16,Male,105,26
12730,16,Female,800,7
4830,90,Female,416,32
20970,64,Male,850,66
17271,21,Male,869,54
12731,13,Male,564,61
10908,67,Male,111,5
29117,11,Female,81,60
3686,103,Female,929,104
22683,36,Male,905,64
22134,103,Male,393,25
31765,67,Male,38,85
31449,103,Female,245,98
5987,103,Male,18,30
21762,160,Male,416,64
22070,103,Male,325,21
25413,103,Male,894,35
5902,20,Female,990,46
28403,71,Male,931,44
30937,57,Female,600,10
28751,103,Female,659,25
29290,152,Male,89,15
32401,103,Female,825,58
19128,61,Male,836,82
29036,16,Male,220,73
16869,103,Female,651,6
10497,19,Female,820,70
18099,103,Female,135,99
12081,65,Male,371,89
7364,160,Female,785,89
11184,74,Female,370,65
7016,65,Male,947,80
8695,11,Male,931,44
6172,11,Male,389,86
14672,173,Female,71,89
18257,103,Female,827,65
24493,103,Female,285,47
1180,16,Male,228,19
28627,75,Male,129,60
8168,136,Male,72,58
10473,21,Male,722,13
25349,16,Male,47,102
5220,73,Male,675,78
4789,67,Male,867,84
11338,114,Male,5,4
27963,98,Male,957,54
8571,21,Male,1,23
16303,114,Male,796,16
20576,97,Male,840,15
32966,21,Male,599,54
21199,90,Female,1,73
18819,50,Male,833,94
14199,160,Male,171,40
7666,21,Female,805,73
13915,16,Male,367,25
10555,173,Male,171,67
16040,103,Male,488,59
32826,138,Male,755,44
13253,82,Male,353,42
15637,67,Male,520,29
28074,103,Female,554,24
23012,103,Female,869,39
16110,103,Female,146,53
3921,36,Female,712,83
24530,114,Male,247,28
1924,102,Female,910,81
32776,64,Male,153,34
1907,102,Male,742,97
23947,103,Female,426,84
3116,21,Male,56,42
24829,103,Male,747,35
30488,11,Female,610,52
1265,103,Male,13,53
22098,90,Female,913,29
13342,21,Female,283,38
24608,160,Male,570,24
20081,57,Male,699,18
24796,103,Male,713,7
7777,114,Female,420,13
22718,157,Female,646,38
1261,73,Male,964,61
3396,67,Male,185,52
4283,103,Male,67,15
18998,114,Female,547,12
2003,103,Male,332,81
31786,103,Male,837,18
8241,16,Female,490,97
12154,16,Female,314,14
23455,21,Male,35,9
19882,16,Male,646,70
28817,89,Male,392,51
4656,114,Male,347,25
7280,103,Male,512,97
16903,103,Male,370,98
13333,75,Female,1000,51
26241,103,Male,648,28
12381,102,Female,423,6
4064,160,Female,1000,19
32092,103,Female,484,65
3766,150,Male,400,72
30496,103,Male,98,53
7189,73,Male,71,91
29497,103,Male,235,16
